 , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, rowcost
Cb major blues (7b), 4:0:0:0:3, 4:1:1:0:3, 4:1:1:0:4, 2:0:0:0:2, 3:1:1:0:3, 2:0:0:0:2, 2:0:0:0:2, 1:0:0:0:1, 3:0:0:0:3, 2:0:0:0:1, 3:0:0:0:2, 3:1:1:0:3, 1:0:0:0:1, 4:1:1:0:4, 4:1:1:0:4, 5:1:1:0:4, 4:0:0:0:3, 1:0:0:0:1, 3:1:1:0:2, 5:1:1:0:4, 5:1:1:0:5, 3:0:0:0:2, 2:0:0:0:1, 2:0:0:0:2, 2:1:1:0:2, 5:0:0:0:3, 5:0:0:0:3, 4:0:0:0:3, 3:0:0:0:2, 1:0:0:0:1, 3:1:1:0:3, 3:0:0:0:3, 4:1:1:0:4, 2:1:1:0:2, 5:0:0:0:3,  , 4:0:0:0:4, 4:0:0:0:3, 3:1:1:0:3, 5:0:0:0:3, 5:0:0:0:4, 0:0:0:0:0, 4:1:1:0:4, 3:0:0:0:3, 4:1:1:0:4, 4:1:1:0:3, 4:1:1:0:4, 3:0:0:0:2, 1:0:0:0:1, 153:19:19:0:129
C# major blues (7#), 4:2:2:0:3, 4:1:1:0:2, 4:1:1:0:2, 1:0:0:0:0, 2:1:1:0:2, 3:0:0:0:1, 4:0:0:0:1, 4:0:0:0:1, 3:0:0:0:0, 1:0:0:0:1, 3:1:1:0:2, 3:1:1:0:2, 2:0:0:0:1, 4:1:1:0:2, 3:0:0:0:1, 5:0:0:0:0, 3:0:0:1:2, 2:0:0:0:0, 3:2:2:0:2, 4:0:0:0:1, 4:0:0:0:1, 1:0:0:0:1, 1:0:0:0:1, 1:0:0:0:1, 2:1:1:0:1, 4:0:0:0:1, 5:1:1:0:2, 3:0:0:0:1, 2:0:0:0:0, 0:0:0:0:0, 4:2:1:0:3, 4:0:0:1:2, 3:0:0:0:1, 3:0:0:0:0, 4:0:0:0:1,  , 3:0:0:0:1, 2:0:0:0:1, 3:0:0:1:2, 4:0:0:1:1, 5:1:1:0:2, 0:0:0:0:0, 3:1:1:0:2, 4:0:0:1:2, 3:0:0:0:1, 3:0:0:0:0, 3:0:0:0:1, 4:0:0:1:0, 2:0:0:0:1, 142:16:15:6:56
Ab minor blues (7b), 4:0:0:0:3, 4:1:1:0:3, 4:1:1:0:4, 2:0:0:0:2, 3:1:1:0:3, 2:0:0:0:2, 2:0:0:0:2, 1:0:0:0:1, 3:0:0:0:3, 2:0:0:0:1, 3:0:0:0:2, 3:1:1:0:3, 1:0:0:0:1, 4:1:1:0:4, 4:1:1:0:4, 5:1:1:0:4, 4:0:0:0:3, 1:0:0:0:1, 3:1:1:0:2, 5:1:1:0:4, 5:1:1:0:5, 3:0:0:0:2, 2:0:0:0:1, 2:0:0:0:2, 2:1:1:0:2, 5:0:0:0:3, 5:0:0:0:3, 4:0:0:0:3, 3:0:0:0:2, 1:0:0:0:1, 3:1:1:0:3, 3:0:0:0:3, 4:1:1:0:4, 2:1:1:0:2, 5:0:0:0:3,  , 4:0:0:0:4, 4:0:0:0:3, 3:1:1:0:3, 5:0:0:0:3, 5:0:0:0:4, 0:0:0:0:0, 4:1:1:0:4, 3:0:0:0:3, 4:1:1:0:4, 4:1:1:0:3, 4:1:1:0:4, 3:0:0:0:2, 1:0:0:0:1, 153:19:19:0:129
A# minor blues (7#), 4:2:2:0:3, 4:1:1:0:2, 4:1:1:0:2, 1:0:0:0:0, 2:1:1:0:2, 3:0:0:0:1, 4:0:0:0:1, 4:0:0:0:1, 3:0:0:0:0, 1:0:0:0:1, 3:1:1:0:2, 3:1:1:0:2, 2:0:0:0:1, 4:1:1:0:2, 3:0:0:0:1, 5:0:0:0:0, 3:0:0:1:2, 2:0:0:0:0, 3:2:2:0:2, 4:0:0:0:1, 4:0:0:0:1, 1:0:0:0:1, 1:0:0:0:1, 1:0:0:0:1, 2:1:1:0:1, 4:0:0:0:1, 5:1:1:0:2, 3:0:0:0:1, 2:0:0:0:0, 0:0:0:0:0, 4:2:1:0:3, 4:0:0:1:2, 3:0:0:0:1, 3:0:0:0:0, 4:0:0:0:1,  , 3:0:0:0:1, 2:0:0:0:1, 3:0:0:1:2, 4:0:0:1:1, 5:1:1:0:2, 0:0:0:0:0, 3:1:1:0:2, 4:0:0:1:2, 3:0:0:0:1, 3:0:0:0:0, 3:0:0:0:1, 4:0:0:1:0, 2:0:0:0:1, 142:16:15:6:56
Cb dorian (7b), 4:0:0:0:3, 4:1:1:0:3, 4:1:1:0:4, 2:0:0:0:2, 3:1:1:0:3, 2:0:0:0:2, 2:0:0:0:2, 1:0:0:0:1, 3:0:0:0:3, 2:0:0:0:1, 3:0:0:0:2, 3:1:1:0:3, 1:0:0:0:1, 4:1:1:0:4, 4:1:1:0:4, 5:1:1:0:4, 4:0:0:0:3, 1:0:0:0:1, 3:1:1:0:2, 5:1:1:0:4, 5:1:1:0:5, 3:0:0:0:2, 2:0:0:0:1, 2:0:0:0:2, 2:1:1:0:2, 5:0:0:0:3, 5:0:0:0:3, 4:0:0:0:3, 3:0:0:0:2, 1:0:0:0:1, 3:1:1:0:3, 3:0:0:0:3, 4:1:1:0:4, 2:1:1:0:2, 5:0:0:0:3,  , 4:0:0:0:4, 4:0:0:0:3, 3:1:1:0:3, 5:0:0:0:3, 5:0:0:0:4, 0:0:0:0:0, 4:1:1:0:4, 3:0:0:0:3, 4:1:1:0:4, 4:1:1:0:3, 4:1:1:0:4, 3:0:0:0:2, 1:0:0:0:1, 153:19:19:0:129
C# dorian (7#), 4:2:2:0:3, 4:1:1:0:2, 4:1:1:0:2, 1:0:0:0:0, 2:1:1:0:2, 3:0:0:0:1, 4:0:0:0:1, 4:0:0:0:1, 3:0:0:0:0, 1:0:0:0:1, 3:1:1:0:2, 3:1:1:0:2, 2:0:0:0:1, 4:1:1:0:2, 3:0:0:0:1, 5:0:0:0:0, 3:0:0:1:2, 2:0:0:0:0, 3:2:2:0:2, 4:0:0:0:1, 4:0:0:0:1, 1:0:0:0:1, 1:0:0:0:1, 1:0:0:0:1, 2:1:1:0:1, 4:0:0:0:1, 5:1:1:0:2, 3:0:0:0:1, 2:0:0:0:0, 0:0:0:0:0, 4:2:1:0:3, 4:0:0:1:2, 3:0:0:0:1, 3:0:0:0:0, 4:0:0:0:1,  , 3:0:0:0:1, 2:0:0:0:1, 3:0:0:1:2, 4:0:0:1:1, 5:1:1:0:2, 0:0:0:0:0, 3:1:1:0:2, 4:0:0:1:2, 3:0:0:0:1, 3:0:0:0:0, 3:0:0:0:1, 4:0:0:1:0, 2:0:0:0:1, 142:16:15:6:56
Cb phrygian (7b), 4:0:0:0:3, 4:1:1:0:3, 4:1:1:0:4, 2:0:0:0:2, 3:1:1:0:3, 2:0:0:0:2, 2:0:0:0:2, 1:0:0:0:1, 3:0:0:0:3, 2:0:0:0:1, 3:0:0:0:2, 3:1:1:0:3, 1:0:0:0:1, 4:1:1:0:4, 4:1:1:0:4, 5:1:1:0:4, 4:0:0:0:3, 1:0:0:0:1, 3:1:1:0:2, 5:1:1:0:4, 5:1:1:0:5, 3:0:0:0:2, 2:0:0:0:1, 2:0:0:0:2, 2:1:1:0:2, 5:0:0:0:3, 5:0:0:0:3, 4:0:0:0:3, 3:0:0:0:2, 1:0:0:0:1, 3:1:1:0:3, 3:0:0:0:3, 4:1:1:0:4, 2:1:1:0:2, 5:0:0:0:3,  , 4:0:0:0:4, 4:0:0:0:3, 3:1:1:0:3, 5:0:0:0:3, 5:0:0:0:4, 0:0:0:0:0, 4:1:1:0:4, 3:0:0:0:3, 4:1:1:0:4, 4:1:1:0:3, 4:1:1:0:4, 3:0:0:0:2, 1:0:0:0:1, 153:19:19:0:129
C# phrygian (7#), 4:2:2:0:3, 4:1:1:0:2, 4:1:1:0:2, 1:0:0:0:0, 2:1:1:0:2, 3:0:0:0:1, 4:0:0:0:1, 4:0:0:0:1, 3:0:0:0:0, 1:0:0:0:1, 3:1:1:0:2, 3:1:1:0:2, 2:0:0:0:1, 4:1:1:0:2, 3:0:0:0:1, 5:0:0:0:0, 3:0:0:1:2, 2:0:0:0:0, 3:2:2:0:2, 4:0:0:0:1, 4:0:0:0:1, 1:0:0:0:1, 1:0:0:0:1, 1:0:0:0:1, 2:1:1:0:1, 4:0:0:0:1, 5:1:1:0:2, 3:0:0:0:1, 2:0:0:0:0, 0:0:0:0:0, 4:2:1:0:3, 4:0:0:1:2, 3:0:0:0:1, 3:0:0:0:0, 4:0:0:0:1,  , 3:0:0:0:1, 2:0:0:0:1, 3:0:0:1:2, 4:0:0:1:1, 5:1:1:0:2, 0:0:0:0:0, 3:1:1:0:2, 4:0:0:1:2, 3:0:0:0:1, 3:0:0:0:0, 3:0:0:0:1, 4:0:0:1:0, 2:0:0:0:1, 142:16:15:6:56
Cb lydian (7b), 4:0:0:0:3, 4:1:1:0:3, 4:1:1:0:4, 2:0:0:0:2, 3:1:1:0:3, 2:0:0:0:2, 2:0:0:0:2, 1:0:0:0:1, 3:0:0:0:3, 2:0:0:0:1, 3:0:0:0:2, 3:1:1:0:3, 1:0:0:0:1, 4:1:1:0:4, 4:1:1:0:4, 5:1:1:0:4, 4:0:0:0:3, 1:0:0:0:1, 3:1:1:0:2, 5:1:1:0:4, 5:1:1:0:5, 3:0:0:0:2, 2:0:0:0:1, 2:0:0:0:2, 2:1:1:0:2, 5:0:0:0:3, 5:0:0:0:3, 4:0:0:0:3, 3:0:0:0:2, 1:0:0:0:1, 3:1:1:0:3, 3:0:0:0:3, 4:1:1:0:4, 2:1:1:0:2, 5:0:0:0:3,  , 4:0:0:0:4, 4:0:0:0:3, 3:1:1:0:3, 5:0:0:0:3, 5:0:0:0:4, 0:0:0:0:0, 4:1:1:0:4, 3:0:0:0:3, 4:1:1:0:4, 4:1:1:0:3, 4:1:1:0:4, 3:0:0:0:2, 1:0:0:0:1, 153:19:19:0:129
C# lydian (7#), 4:2:2:0:3, 4:1:1:0:2, 4:1:1:0:2, 1:0:0:0:0, 2:1:1:0:2, 3:0:0:0:1, 4:0:0:0:1, 4:0:0:0:1, 3:0:0:0:0, 1:0:0:0:1, 3:1:1:0:2, 3:1:1:0:2, 2:0:0:0:1, 4:1:1:0:2, 3:0:0:0:1, 5:0:0:0:0, 3:0:0:1:2, 2:0:0:0:0, 3:2:2:0:2, 4:0:0:0:1, 4:0:0:0:1, 1:0:0:0:1, 1:0:0:0:1, 1:0:0:0:1, 2:1:1:0:1, 4:0:0:0:1, 5:1:1:0:2, 3:0:0:0:1, 2:0:0:0:0, 0:0:0:0:0, 4:2:1:0:3, 4:0:0:1:2, 3:0:0:0:1, 3:0:0:0:0, 4:0:0:0:1,  , 3:0:0:0:1, 2:0:0:0:1, 3:0:0:1:2, 4:0:0:1:1, 5:1:1:0:2, 0:0:0:0:0, 3:1:1:0:2, 4:0:0:1:2, 3:0:0:0:1, 3:0:0:0:0, 3:0:0:0:1, 4:0:0:1:0, 2:0:0:0:1, 142:16:15:6:56
Cb mixolydian (7b), 4:0:0:0:3, 4:1:1:0:3, 4:1:1:0:4, 2:0:0:0:2, 3:1:1:0:3, 2:0:0:0:2, 2:0:0:0:2, 1:0:0:0:1, 3:0:0:0:3, 2:0:0:0:1, 3:0:0:0:2, 3:1:1:0:3, 1:0:0:0:1, 4:1:1:0:4, 4:1:1:0:4, 5:1:1:0:4, 4:0:0:0:3, 1:0:0:0:1, 3:1:1:0:2, 5:1:1:0:4, 5:1:1:0:5, 3:0:0:0:2, 2:0:0:0:1, 2:0:0:0:2, 2:1:1:0:2, 5:0:0:0:3, 5:0:0:0:3, 4:0:0:0:3, 3:0:0:0:2, 1:0:0:0:1, 3:1:1:0:3, 3:0:0:0:3, 4:1:1:0:4, 2:1:1:0:2, 5:0:0:0:3,  , 4:0:0:0:4, 4:0:0:0:3, 3:1:1:0:3, 5:0:0:0:3, 5:0:0:0:4, 0:0:0:0:0, 4:1:1:0:4, 3:0:0:0:3, 4:1:1:0:4, 4:1:1:0:3, 4:1:1:0:4, 3:0:0:0:2, 1:0:0:0:1, 153:19:19:0:129
C# mixolydian (7#), 4:2:2:0:3, 4:1:1:0:2, 4:1:1:0:2, 1:0:0:0:0, 2:1:1:0:2, 3:0:0:0:1, 4:0:0:0:1, 4:0:0:0:1, 3:0:0:0:0, 1:0:0:0:1, 3:1:1:0:2, 3:1:1:0:2, 2:0:0:0:1, 4:1:1:0:2, 3:0:0:0:1, 5:0:0:0:0, 3:0:0:1:2, 2:0:0:0:0, 3:2:2:0:2, 4:0:0:0:1, 4:0:0:0:1, 1:0:0:0:1, 1:0:0:0:1, 1:0:0:0:1, 2:1:1:0:1, 4:0:0:0:1, 5:1:1:0:2, 3:0:0:0:1, 2:0:0:0:0, 0:0:0:0:0, 4:2:1:0:3, 4:0:0:1:2, 3:0:0:0:1, 3:0:0:0:0, 4:0:0:0:1,  , 3:0:0:0:1, 2:0:0:0:1, 3:0:0:1:2, 4:0:0:1:1, 5:1:1:0:2, 0:0:0:0:0, 3:1:1:0:2, 4:0:0:1:2, 3:0:0:0:1, 3:0:0:0:0, 3:0:0:0:1, 4:0:0:1:0, 2:0:0:0:1, 142:16:15:6:56
Cb aeolian (7b), 4:0:0:0:3, 4:1:1:0:3, 4:1:1:0:4, 2:0:0:0:2, 3:1:1:0:3, 2:0:0:0:2, 2:0:0:0:2, 1:0:0:0:1, 3:0:0:0:3, 2:0:0:0:1, 3:0:0:0:2, 3:1:1:0:3, 1:0:0:0:1, 4:1:1:0:4, 4:1:1:0:4, 5:1:1:0:4, 4:0:0:0:3, 1:0:0:0:1, 3:1:1:0:2, 5:1:1:0:4, 5:1:1:0:5, 3:0:0:0:2, 2:0:0:0:1, 2:0:0:0:2, 2:1:1:0:2, 5:0:0:0:3, 5:0:0:0:3, 4:0:0:0:3, 3:0:0:0:2, 1:0:0:0:1, 3:1:1:0:3, 3:0:0:0:3, 4:1:1:0:4, 2:1:1:0:2, 5:0:0:0:3,  , 4:0:0:0:4, 4:0:0:0:3, 3:1:1:0:3, 5:0:0:0:3, 5:0:0:0:4, 0:0:0:0:0, 4:1:1:0:4, 3:0:0:0:3, 4:1:1:0:4, 4:1:1:0:3, 4:1:1:0:4, 3:0:0:0:2, 1:0:0:0:1, 153:19:19:0:129
C# aeolian (7#), 4:2:2:0:3, 4:1:1:0:2, 4:1:1:0:2, 1:0:0:0:0, 2:1:1:0:2, 3:0:0:0:1, 4:0:0:0:1, 4:0:0:0:1, 3:0:0:0:0, 1:0:0:0:1, 3:1:1:0:2, 3:1:1:0:2, 2:0:0:0:1, 4:1:1:0:2, 3:0:0:0:1, 5:0:0:0:0, 3:0:0:1:2, 2:0:0:0:0, 3:2:2:0:2, 4:0:0:0:1, 4:0:0:0:1, 1:0:0:0:1, 1:0:0:0:1, 1:0:0:0:1, 2:1:1:0:1, 4:0:0:0:1, 5:1:1:0:2, 3:0:0:0:1, 2:0:0:0:0, 0:0:0:0:0, 4:2:1:0:3, 4:0:0:1:2, 3:0:0:0:1, 3:0:0:0:0, 4:0:0:0:1,  , 3:0:0:0:1, 2:0:0:0:1, 3:0:0:1:2, 4:0:0:1:1, 5:1:1:0:2, 0:0:0:0:0, 3:1:1:0:2, 4:0:0:1:2, 3:0:0:0:1, 3:0:0:0:0, 3:0:0:0:1, 4:0:0:1:0, 2:0:0:0:1, 142:16:15:6:56
Cb locrian (7b), 4:0:0:0:3, 4:1:1:0:3, 4:1:1:0:4, 2:0:0:0:2, 3:1:1:0:3, 2:0:0:0:2, 2:0:0:0:2, 1:0:0:0:1, 3:0:0:0:3, 2:0:0:0:1, 3:0:0:0:2, 3:1:1:0:3, 1:0:0:0:1, 4:1:1:0:4, 4:1:1:0:4, 5:1:1:0:4, 4:0:0:0:3, 1:0:0:0:1, 3:1:1:0:2, 5:1:1:0:4, 5:1:1:0:5, 3:0:0:0:2, 2:0:0:0:1, 2:0:0:0:2, 2:1:1:0:2, 5:0:0:0:3, 5:0:0:0:3, 4:0:0:0:3, 3:0:0:0:2, 1:0:0:0:1, 3:1:1:0:3, 3:0:0:0:3, 4:1:1:0:4, 2:1:1:0:2, 5:0:0:0:3,  , 4:0:0:0:4, 4:0:0:0:3, 3:1:1:0:3, 5:0:0:0:3, 5:0:0:0:4, 0:0:0:0:0, 4:1:1:0:4, 3:0:0:0:3, 4:1:1:0:4, 4:1:1:0:3, 4:1:1:0:4, 3:0:0:0:2, 1:0:0:0:1, 153:19:19:0:129
C# locrian (7#), 4:2:2:0:3, 4:1:1:0:2, 4:1:1:0:2, 1:0:0:0:0, 2:1:1:0:2, 3:0:0:0:1, 4:0:0:0:1, 4:0:0:0:1, 3:0:0:0:0, 1:0:0:0:1, 3:1:1:0:2, 3:1:1:0:2, 2:0:0:0:1, 4:1:1:0:2, 3:0:0:0:1, 5:0:0:0:0, 3:0:0:1:2, 2:0:0:0:0, 3:2:2:0:2, 4:0:0:0:1, 4:0:0:0:1, 1:0:0:0:1, 1:0:0:0:1, 1:0:0:0:1, 2:1:1:0:1, 4:0:0:0:1, 5:1:1:0:2, 3:0:0:0:1, 2:0:0:0:0, 0:0:0:0:0, 4:2:1:0:3, 4:0:0:1:2, 3:0:0:0:1, 3:0:0:0:0, 4:0:0:0:1,  , 3:0:0:0:1, 2:0:0:0:1, 3:0:0:1:2, 4:0:0:1:1, 5:1:1:0:2, 0:0:0:0:0, 3:1:1:0:2, 4:0:0:1:2, 3:0:0:0:1, 3:0:0:0:0, 3:0:0:0:1, 4:0:0:1:0, 2:0:0:0:1, 142:16:15:6:56
