 , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, rowcost
B minor blues (2#), 1:0:0:0:1, 2:1:0:0:0, 2:0:0:0:2, 5:0:1:0:3, 2:0:0:0:1, 3:0:0:0:1, 3:2:1:0:1, 2:0:0:0:0, 2:1:0:0:1, 1:0:0:0:1, 1:0:0:0:1, 3:2:0:0:1, 3:1:0:0:0, 2:1:0:0:0, 2:0:0:0:2, 5:0:1:0:3, 2:0:0:0:1, 3:0:0:0:1, 3:2:1:0:1, 2:0:0:0:0, 2:1:0:0:1, 1:0:0:0:1, 1:0:0:0:1, 3:2:0:0:1, 3:1:0:0:0, 2:1:0:0:0, 3:0:0:0:2, 1:0:0:0:0, 2:1:0:0:1, 4:3:0:0:1, 4:0:1:0:3, 3:1:1:0:1, 4:0:0:0:2, 3:1:0:0:1, 3:1:0:0:1, 3:1:0:0:0, 4:1:0:0:1, 5:1:0:0:2, 4:0:1:0:3, 3:0:0:0:0, 1:0:0:0:1, 1:0:0:0:1, 6:0:1:0:3, 4:2:1:0:2, 4:3:0:0:1, 1:0:0:0:0, 3:0:1:0:2, 2:0:0:0:0, 2:0:0:0:1, 3:1:0:0:1, 2:0:0:0:2, 4:0:0:0:1, 1:0:0:0:0, 4:1:0:0:1, 2:0:0:0:1, 1:0:0:0:0, 4:2:0:0:1, 5:2:0:0:2, 4:1:0:0:1, 4:1:0:0:1, 1:1:0:0:0, 1:0:0:0:1, 4:2:0:0:2, 3:1:0:0:0, 2:0:0:0:1, 1:0:0:0:1, 5:0:1:0:3, 1:0:0:0:0,  , 7:1:0:0:1, 5:1:0:0:1, 6:2:1:0:1, 3:1:0:0:0, 3:1:0:0:0, 207:48:12:0:76
Bb dorian (2b), 0:0:0:0:0, 1:1:0:0:1, 2:0:0:0:0, 2:0:0:0:0, 0:0:0:0:0, 0:0:0:0:0, 1:0:0:0:0, 0:0:0:0:0, 1:0:1:0:0, 0:0:0:0:0, 0:0:0:0:0, 1:0:0:0:0, 1:1:0:0:1, 1:1:0:0:1, 2:0:0:0:0, 2:0:0:0:0, 0:0:0:0:0, 0:0:0:0:0, 1:0:0:0:0, 0:0:0:0:0, 1:0:1:0:0, 0:0:0:0:0, 0:0:0:0:0, 1:0:0:0:0, 1:1:0:0:1, 0:0:0:0:0, 1:0:0:0:0, 0:0:0:0:0, 2:0:0:0:0, 2:0:0:0:0, 3:0:0:0:0, 1:1:0:0:1, 1:0:0:0:0, 3:0:1:0:1, 2:0:0:0:0, 0:0:0:0:0, 0:0:0:0:0, 2:0:0:0:1, 1:0:0:0:0, 1:0:0:0:0, 0:0:0:0:0, 1:1:0:0:1, 2:0:0:0:0, 2:0:0:0:0, 1:0:0:0:0, 1:0:0:0:1, 2:0:0:0:0, 0:0:0:0:0, 0:0:0:0:0, 0:0:0:0:0, 1:0:1:0:1, 1:0:0:0:0, 0:0:0:0:0, 0:0:0:0:0, 1:0:0:0:0, 1:0:0:0:1, 1:0:0:0:0, 3:0:0:0:1, 0:0:0:0:0, 1:0:0:0:0, 0:0:0:0:0, 0:0:0:0:0, 1:0:0:0:0, 1:0:0:0:0, 0:0:0:0:0, 1:0:0:0:0, 2:0:0:0:0, 0:0:0:0:0,  , 8:0:1:0:0, 3:1:1:0:2, 4:1:1:0:1, 3:0:0:0:0, 0:0:0:0:0, 78:8:7:0:15
D dorian (2#), 1:0:0:0:1, 2:1:0:0:0, 2:0:0:0:2, 5:0:1:0:3, 2:0:0:0:1, 3:0:0:0:1, 3:2:1:0:1, 2:0:0:0:0, 2:1:0:0:1, 1:0:0:0:1, 1:0:0:0:1, 3:2:0:0:1, 3:1:0:0:0, 2:1:0:0:0, 2:0:0:0:2, 5:0:1:0:3, 2:0:0:0:1, 3:0:0:0:1, 3:2:1:0:1, 2:0:0:0:0, 2:1:0:0:1, 1:0:0:0:1, 1:0:0:0:1, 3:2:0:0:1, 3:1:0:0:0, 2:1:0:0:0, 3:0:0:0:2, 1:0:0:0:0, 2:1:0:0:1, 4:3:0:0:1, 4:0:1:0:3, 3:1:1:0:1, 4:0:0:0:2, 3:1:0:0:1, 3:1:0:0:1, 3:1:0:0:0, 4:1:0:0:1, 5:1:0:0:2, 4:0:1:0:3, 3:0:0:0:0, 1:0:0:0:1, 1:0:0:0:1, 6:0:1:0:3, 4:2:1:0:2, 4:3:0:0:1, 1:0:0:0:0, 3:0:1:0:2, 2:0:0:0:0, 2:0:0:0:1, 3:1:0:0:1, 2:0:0:0:2, 4:0:0:0:1, 1:0:0:0:0, 4:1:0:0:1, 2:0:0:0:1, 1:0:0:0:0, 4:2:0:0:1, 5:2:0:0:2, 4:1:0:0:1, 4:1:0:0:1, 1:1:0:0:0, 1:0:0:0:1, 4:2:0:0:2, 3:1:0:0:0, 2:0:0:0:1, 1:0:0:0:1, 5:0:1:0:3, 1:0:0:0:0,  , 7:1:0:0:1, 5:1:0:0:1, 6:2:1:0:1, 3:1:0:0:0, 3:1:0:0:0, 207:48:12:0:76
Bb phrygian (2b), 0:0:0:0:0, 1:1:0:0:1, 2:0:0:0:0, 2:0:0:0:0, 0:0:0:0:0, 0:0:0:0:0, 1:0:0:0:0, 0:0:0:0:0, 1:0:1:0:0, 0:0:0:0:0, 0:0:0:0:0, 1:0:0:0:0, 1:1:0:0:1, 1:1:0:0:1, 2:0:0:0:0, 2:0:0:0:0, 0:0:0:0:0, 0:0:0:0:0, 1:0:0:0:0, 0:0:0:0:0, 1:0:1:0:0, 0:0:0:0:0, 0:0:0:0:0, 1:0:0:0:0, 1:1:0:0:1, 0:0:0:0:0, 1:0:0:0:0, 0:0:0:0:0, 2:0:0:0:0, 2:0:0:0:0, 3:0:0:0:0, 1:1:0:0:1, 1:0:0:0:0, 3:0:1:0:1, 2:0:0:0:0, 0:0:0:0:0, 0:0:0:0:0, 2:0:0:0:1, 1:0:0:0:0, 1:0:0:0:0, 0:0:0:0:0, 1:1:0:0:1, 2:0:0:0:0, 2:0:0:0:0, 1:0:0:0:0, 1:0:0:0:1, 2:0:0:0:0, 0:0:0:0:0, 0:0:0:0:0, 0:0:0:0:0, 1:0:1:0:1, 1:0:0:0:0, 0:0:0:0:0, 0:0:0:0:0, 1:0:0:0:0, 1:0:0:0:1, 1:0:0:0:0, 3:0:0:0:1, 0:0:0:0:0, 1:0:0:0:0, 0:0:0:0:0, 0:0:0:0:0, 1:0:0:0:0, 1:0:0:0:0, 0:0:0:0:0, 1:0:0:0:0, 2:0:0:0:0, 0:0:0:0:0,  , 8:0:1:0:0, 3:1:1:0:2, 4:1:1:0:1, 3:0:0:0:0, 0:0:0:0:0, 78:8:7:0:15
D phrygian (2#), 1:0:0:0:1, 2:1:0:0:0, 2:0:0:0:2, 5:0:1:0:3, 2:0:0:0:1, 3:0:0:0:1, 3:2:1:0:1, 2:0:0:0:0, 2:1:0:0:1, 1:0:0:0:1, 1:0:0:0:1, 3:2:0:0:1, 3:1:0:0:0, 2:1:0:0:0, 2:0:0:0:2, 5:0:1:0:3, 2:0:0:0:1, 3:0:0:0:1, 3:2:1:0:1, 2:0:0:0:0, 2:1:0:0:1, 1:0:0:0:1, 1:0:0:0:1, 3:2:0:0:1, 3:1:0:0:0, 2:1:0:0:0, 3:0:0:0:2, 1:0:0:0:0, 2:1:0:0:1, 4:3:0:0:1, 4:0:1:0:3, 3:1:1:0:1, 4:0:0:0:2, 3:1:0:0:1, 3:1:0:0:1, 3:1:0:0:0, 4:1:0:0:1, 5:1:0:0:2, 4:0:1:0:3, 3:0:0:0:0, 1:0:0:0:1, 1:0:0:0:1, 6:0:1:0:3, 4:2:1:0:2, 4:3:0:0:1, 1:0:0:0:0, 3:0:1:0:2, 2:0:0:0:0, 2:0:0:0:1, 3:1:0:0:1, 2:0:0:0:2, 4:0:0:0:1, 1:0:0:0:0, 4:1:0:0:1, 2:0:0:0:1, 1:0:0:0:0, 4:2:0:0:1, 5:2:0:0:2, 4:1:0:0:1, 4:1:0:0:1, 1:1:0:0:0, 1:0:0:0:1, 4:2:0:0:2, 3:1:0:0:0, 2:0:0:0:1, 1:0:0:0:1, 5:0:1:0:3, 1:0:0:0:0,  , 7:1:0:0:1, 5:1:0:0:1, 6:2:1:0:1, 3:1:0:0:0, 3:1:0:0:0, 207:48:12:0:76
Bb lydian (2b), 0:0:0:0:0, 1:1:0:0:1, 2:0:0:0:0, 2:0:0:0:0, 0:0:0:0:0, 0:0:0:0:0, 1:0:0:0:0, 0:0:0:0:0, 1:0:1:0:0, 0:0:0:0:0, 0:0:0:0:0, 1:0:0:0:0, 1:1:0:0:1, 1:1:0:0:1, 2:0:0:0:0, 2:0:0:0:0, 0:0:0:0:0, 0:0:0:0:0, 1:0:0:0:0, 0:0:0:0:0, 1:0:1:0:0, 0:0:0:0:0, 0:0:0:0:0, 1:0:0:0:0, 1:1:0:0:1, 0:0:0:0:0, 1:0:0:0:0, 0:0:0:0:0, 2:0:0:0:0, 2:0:0:0:0, 3:0:0:0:0, 1:1:0:0:1, 1:0:0:0:0, 3:0:1:0:1, 2:0:0:0:0, 0:0:0:0:0, 0:0:0:0:0, 2:0:0:0:1, 1:0:0:0:0, 1:0:0:0:0, 0:0:0:0:0, 1:1:0:0:1, 2:0:0:0:0, 2:0:0:0:0, 1:0:0:0:0, 1:0:0:0:1, 2:0:0:0:0, 0:0:0:0:0, 0:0:0:0:0, 0:0:0:0:0, 1:0:1:0:1, 1:0:0:0:0, 0:0:0:0:0, 0:0:0:0:0, 1:0:0:0:0, 1:0:0:0:1, 1:0:0:0:0, 3:0:0:0:1, 0:0:0:0:0, 1:0:0:0:0, 0:0:0:0:0, 0:0:0:0:0, 1:0:0:0:0, 1:0:0:0:0, 0:0:0:0:0, 1:0:0:0:0, 2:0:0:0:0, 0:0:0:0:0,  , 8:0:1:0:0, 3:1:1:0:2, 4:1:1:0:1, 3:0:0:0:0, 0:0:0:0:0, 78:8:7:0:15
D lydian (2#), 1:0:0:0:1, 2:1:0:0:0, 2:0:0:0:2, 5:0:1:0:3, 2:0:0:0:1, 3:0:0:0:1, 3:2:1:0:1, 2:0:0:0:0, 2:1:0:0:1, 1:0:0:0:1, 1:0:0:0:1, 3:2:0:0:1, 3:1:0:0:0, 2:1:0:0:0, 2:0:0:0:2, 5:0:1:0:3, 2:0:0:0:1, 3:0:0:0:1, 3:2:1:0:1, 2:0:0:0:0, 2:1:0:0:1, 1:0:0:0:1, 1:0:0:0:1, 3:2:0:0:1, 3:1:0:0:0, 2:1:0:0:0, 3:0:0:0:2, 1:0:0:0:0, 2:1:0:0:1, 4:3:0:0:1, 4:0:1:0:3, 3:1:1:0:1, 4:0:0:0:2, 3:1:0:0:1, 3:1:0:0:1, 3:1:0:0:0, 4:1:0:0:1, 5:1:0:0:2, 4:0:1:0:3, 3:0:0:0:0, 1:0:0:0:1, 1:0:0:0:1, 6:0:1:0:3, 4:2:1:0:2, 4:3:0:0:1, 1:0:0:0:0, 3:0:1:0:2, 2:0:0:0:0, 2:0:0:0:1, 3:1:0:0:1, 2:0:0:0:2, 4:0:0:0:1, 1:0:0:0:0, 4:1:0:0:1, 2:0:0:0:1, 1:0:0:0:0, 4:2:0:0:1, 5:2:0:0:2, 4:1:0:0:1, 4:1:0:0:1, 1:1:0:0:0, 1:0:0:0:1, 4:2:0:0:2, 3:1:0:0:0, 2:0:0:0:1, 1:0:0:0:1, 5:0:1:0:3, 1:0:0:0:0,  , 7:1:0:0:1, 5:1:0:0:1, 6:2:1:0:1, 3:1:0:0:0, 3:1:0:0:0, 207:48:12:0:76
Bb mixolydian (2b), 0:0:0:0:0, 1:1:0:0:1, 2:0:0:0:0, 2:0:0:0:0, 0:0:0:0:0, 0:0:0:0:0, 1:0:0:0:0, 0:0:0:0:0, 1:0:1:0:0, 0:0:0:0:0, 0:0:0:0:0, 1:0:0:0:0, 1:1:0:0:1, 1:1:0:0:1, 2:0:0:0:0, 2:0:0:0:0, 0:0:0:0:0, 0:0:0:0:0, 1:0:0:0:0, 0:0:0:0:0, 1:0:1:0:0, 0:0:0:0:0, 0:0:0:0:0, 1:0:0:0:0, 1:1:0:0:1, 0:0:0:0:0, 1:0:0:0:0, 0:0:0:0:0, 2:0:0:0:0, 2:0:0:0:0, 3:0:0:0:0, 1:1:0:0:1, 1:0:0:0:0, 3:0:1:0:1, 2:0:0:0:0, 0:0:0:0:0, 0:0:0:0:0, 2:0:0:0:1, 1:0:0:0:0, 1:0:0:0:0, 0:0:0:0:0, 1:1:0:0:1, 2:0:0:0:0, 2:0:0:0:0, 1:0:0:0:0, 1:0:0:0:1, 2:0:0:0:0, 0:0:0:0:0, 0:0:0:0:0, 0:0:0:0:0, 1:0:1:0:1, 1:0:0:0:0, 0:0:0:0:0, 0:0:0:0:0, 1:0:0:0:0, 1:0:0:0:1, 1:0:0:0:0, 3:0:0:0:1, 0:0:0:0:0, 1:0:0:0:0, 0:0:0:0:0, 0:0:0:0:0, 1:0:0:0:0, 1:0:0:0:0, 0:0:0:0:0, 1:0:0:0:0, 2:0:0:0:0, 0:0:0:0:0,  , 8:0:1:0:0, 3:1:1:0:2, 4:1:1:0:1, 3:0:0:0:0, 0:0:0:0:0, 78:8:7:0:15
D mixolydian (2#), 1:0:0:0:1, 2:1:0:0:0, 2:0:0:0:2, 5:0:1:0:3, 2:0:0:0:1, 3:0:0:0:1, 3:2:1:0:1, 2:0:0:0:0, 2:1:0:0:1, 1:0:0:0:1, 1:0:0:0:1, 3:2:0:0:1, 3:1:0:0:0, 2:1:0:0:0, 2:0:0:0:2, 5:0:1:0:3, 2:0:0:0:1, 3:0:0:0:1, 3:2:1:0:1, 2:0:0:0:0, 2:1:0:0:1, 1:0:0:0:1, 1:0:0:0:1, 3:2:0:0:1, 3:1:0:0:0, 2:1:0:0:0, 3:0:0:0:2, 1:0:0:0:0, 2:1:0:0:1, 4:3:0:0:1, 4:0:1:0:3, 3:1:1:0:1, 4:0:0:0:2, 3:1:0:0:1, 3:1:0:0:1, 3:1:0:0:0, 4:1:0:0:1, 5:1:0:0:2, 4:0:1:0:3, 3:0:0:0:0, 1:0:0:0:1, 1:0:0:0:1, 6:0:1:0:3, 4:2:1:0:2, 4:3:0:0:1, 1:0:0:0:0, 3:0:1:0:2, 2:0:0:0:0, 2:0:0:0:1, 3:1:0:0:1, 2:0:0:0:2, 4:0:0:0:1, 1:0:0:0:0, 4:1:0:0:1, 2:0:0:0:1, 1:0:0:0:0, 4:2:0:0:1, 5:2:0:0:2, 4:1:0:0:1, 4:1:0:0:1, 1:1:0:0:0, 1:0:0:0:1, 4:2:0:0:2, 3:1:0:0:0, 2:0:0:0:1, 1:0:0:0:1, 5:0:1:0:3, 1:0:0:0:0,  , 7:1:0:0:1, 5:1:0:0:1, 6:2:1:0:1, 3:1:0:0:0, 3:1:0:0:0, 207:48:12:0:76
Bb aeolian (2b), 0:0:0:0:0, 1:1:0:0:1, 2:0:0:0:0, 2:0:0:0:0, 0:0:0:0:0, 0:0:0:0:0, 1:0:0:0:0, 0:0:0:0:0, 1:0:1:0:0, 0:0:0:0:0, 0:0:0:0:0, 1:0:0:0:0, 1:1:0:0:1, 1:1:0:0:1, 2:0:0:0:0, 2:0:0:0:0, 0:0:0:0:0, 0:0:0:0:0, 1:0:0:0:0, 0:0:0:0:0, 1:0:1:0:0, 0:0:0:0:0, 0:0:0:0:0, 1:0:0:0:0, 1:1:0:0:1, 0:0:0:0:0, 1:0:0:0:0, 0:0:0:0:0, 2:0:0:0:0, 2:0:0:0:0, 3:0:0:0:0, 1:1:0:0:1, 1:0:0:0:0, 3:0:1:0:1, 2:0:0:0:0, 0:0:0:0:0, 0:0:0:0:0, 2:0:0:0:1, 1:0:0:0:0, 1:0:0:0:0, 0:0:0:0:0, 1:1:0:0:1, 2:0:0:0:0, 2:0:0:0:0, 1:0:0:0:0, 1:0:0:0:1, 2:0:0:0:0, 0:0:0:0:0, 0:0:0:0:0, 0:0:0:0:0, 1:0:1:0:1, 1:0:0:0:0, 0:0:0:0:0, 0:0:0:0:0, 1:0:0:0:0, 1:0:0:0:1, 1:0:0:0:0, 3:0:0:0:1, 0:0:0:0:0, 1:0:0:0:0, 0:0:0:0:0, 0:0:0:0:0, 1:0:0:0:0, 1:0:0:0:0, 0:0:0:0:0, 1:0:0:0:0, 2:0:0:0:0, 0:0:0:0:0,  , 8:0:1:0:0, 3:1:1:0:2, 4:1:1:0:1, 3:0:0:0:0, 0:0:0:0:0, 78:8:7:0:15
D aeolian (2#), 1:0:0:0:1, 2:1:0:0:0, 2:0:0:0:2, 5:0:1:0:3, 2:0:0:0:1, 3:0:0:0:1, 3:2:1:0:1, 2:0:0:0:0, 2:1:0:0:1, 1:0:0:0:1, 1:0:0:0:1, 3:2:0:0:1, 3:1:0:0:0, 2:1:0:0:0, 2:0:0:0:2, 5:0:1:0:3, 2:0:0:0:1, 3:0:0:0:1, 3:2:1:0:1, 2:0:0:0:0, 2:1:0:0:1, 1:0:0:0:1, 1:0:0:0:1, 3:2:0:0:1, 3:1:0:0:0, 2:1:0:0:0, 3:0:0:0:2, 1:0:0:0:0, 2:1:0:0:1, 4:3:0:0:1, 4:0:1:0:3, 3:1:1:0:1, 4:0:0:0:2, 3:1:0:0:1, 3:1:0:0:1, 3:1:0:0:0, 4:1:0:0:1, 5:1:0:0:2, 4:0:1:0:3, 3:0:0:0:0, 1:0:0:0:1, 1:0:0:0:1, 6:0:1:0:3, 4:2:1:0:2, 4:3:0:0:1, 1:0:0:0:0, 3:0:1:0:2, 2:0:0:0:0, 2:0:0:0:1, 3:1:0:0:1, 2:0:0:0:2, 4:0:0:0:1, 1:0:0:0:0, 4:1:0:0:1, 2:0:0:0:1, 1:0:0:0:0, 4:2:0:0:1, 5:2:0:0:2, 4:1:0:0:1, 4:1:0:0:1, 1:1:0:0:0, 1:0:0:0:1, 4:2:0:0:2, 3:1:0:0:0, 2:0:0:0:1, 1:0:0:0:1, 5:0:1:0:3, 1:0:0:0:0,  , 7:1:0:0:1, 5:1:0:0:1, 6:2:1:0:1, 3:1:0:0:0, 3:1:0:0:0, 207:48:12:0:76
Bb locrian (2b), 0:0:0:0:0, 1:1:0:0:1, 2:0:0:0:0, 2:0:0:0:0, 0:0:0:0:0, 0:0:0:0:0, 1:0:0:0:0, 0:0:0:0:0, 1:0:1:0:0, 0:0:0:0:0, 0:0:0:0:0, 1:0:0:0:0, 1:1:0:0:1, 1:1:0:0:1, 2:0:0:0:0, 2:0:0:0:0, 0:0:0:0:0, 0:0:0:0:0, 1:0:0:0:0, 0:0:0:0:0, 1:0:1:0:0, 0:0:0:0:0, 0:0:0:0:0, 1:0:0:0:0, 1:1:0:0:1, 0:0:0:0:0, 1:0:0:0:0, 0:0:0:0:0, 2:0:0:0:0, 2:0:0:0:0, 3:0:0:0:0, 1:1:0:0:1, 1:0:0:0:0, 3:0:1:0:1, 2:0:0:0:0, 0:0:0:0:0, 0:0:0:0:0, 2:0:0:0:1, 1:0:0:0:0, 1:0:0:0:0, 0:0:0:0:0, 1:1:0:0:1, 2:0:0:0:0, 2:0:0:0:0, 1:0:0:0:0, 1:0:0:0:1, 2:0:0:0:0, 0:0:0:0:0, 0:0:0:0:0, 0:0:0:0:0, 1:0:1:0:1, 1:0:0:0:0, 0:0:0:0:0, 0:0:0:0:0, 1:0:0:0:0, 1:0:0:0:1, 1:0:0:0:0, 3:0:0:0:1, 0:0:0:0:0, 1:0:0:0:0, 0:0:0:0:0, 0:0:0:0:0, 1:0:0:0:0, 1:0:0:0:0, 0:0:0:0:0, 1:0:0:0:0, 2:0:0:0:0, 0:0:0:0:0,  , 8:0:1:0:0, 3:1:1:0:2, 4:1:1:0:1, 3:0:0:0:0, 0:0:0:0:0, 78:8:7:0:15
D locrian (2#), 1:0:0:0:1, 2:1:0:0:0, 2:0:0:0:2, 5:0:1:0:3, 2:0:0:0:1, 3:0:0:0:1, 3:2:1:0:1, 2:0:0:0:0, 2:1:0:0:1, 1:0:0:0:1, 1:0:0:0:1, 3:2:0:0:1, 3:1:0:0:0, 2:1:0:0:0, 2:0:0:0:2, 5:0:1:0:3, 2:0:0:0:1, 3:0:0:0:1, 3:2:1:0:1, 2:0:0:0:0, 2:1:0:0:1, 1:0:0:0:1, 1:0:0:0:1, 3:2:0:0:1, 3:1:0:0:0, 2:1:0:0:0, 3:0:0:0:2, 1:0:0:0:0, 2:1:0:0:1, 4:3:0:0:1, 4:0:1:0:3, 3:1:1:0:1, 4:0:0:0:2, 3:1:0:0:1, 3:1:0:0:1, 3:1:0:0:0, 4:1:0:0:1, 5:1:0:0:2, 4:0:1:0:3, 3:0:0:0:0, 1:0:0:0:1, 1:0:0:0:1, 6:0:1:0:3, 4:2:1:0:2, 4:3:0:0:1, 1:0:0:0:0, 3:0:1:0:2, 2:0:0:0:0, 2:0:0:0:1, 3:1:0:0:1, 2:0:0:0:2, 4:0:0:0:1, 1:0:0:0:0, 4:1:0:0:1, 2:0:0:0:1, 1:0:0:0:0, 4:2:0:0:1, 5:2:0:0:2, 4:1:0:0:1, 4:1:0:0:1, 1:1:0:0:0, 1:0:0:0:1, 4:2:0:0:2, 3:1:0:0:0, 2:0:0:0:1, 1:0:0:0:1, 5:0:1:0:3, 1:0:0:0:0,  , 7:1:0:0:1, 5:1:0:0:1, 6:2:1:0:1, 3:1:0:0:0, 3:1:0:0:0, 207:48:12:0:76
Eb major (3b), 0:0:0:0:0, 2:1:0:0:1, 2:0:0:0:0, 1:0:0:0:0, 0:0:0:0:0, 0:0:0:0:0, 2:0:0:0:0, 1:0:0:0:0, 1:0:1:0:0, 0:0:0:0:0, 0:0:0:0:0, 0:0:0:0:0, 1:0:0:0:0, 2:1:0:0:1, 2:0:0:0:0, 1:0:0:0:0, 0:0:0:0:0, 0:0:0:0:0, 2:0:0:0:0, 1:0:0:0:0, 1:0:1:0:0, 0:0:0:0:0, 0:0:0:0:0, 0:0:0:0:0, 1:0:0:0:0, 1:0:0:0:0, 1:0:0:0:0, 0:0:0:0:0, 1:0:0:0:1, 1:0:0:0:0, 3:0:0:0:0, 2:1:0:0:1, 0:0:0:0:0, 4:0:1:0:0, 3:0:0:0:1, 1:0:0:0:0, 0:0:0:0:0, 3:0:0:0:1, 1:0:0:0:0, 0:0:0:0:0, 0:0:0:0:0, 1:1:0:0:1, 1:0:0:0:0, 3:0:0:0:0, 0:0:0:0:0, 1:0:0:0:1, 1:0:0:0:0, 0:0:0:0:0, 0:0:0:0:0, 0:0:0:0:0, 1:0:1:0:0, 0:0:0:0:0, 0:0:0:0:0, 1:0:0:0:0, 1:0:0:0:0, 2:0:0:0:1, 0:0:0:0:0, 2:0:0:0:1, 0:0:0:0:0, 2:0:0:0:0, 0:0:0:0:0, 0:0:0:0:0, 0:0:0:0:0, 0:0:0:0:0, 0:0:0:0:0, 1:0:0:0:0, 1:0:0:0:0, 0:0:0:0:0,  , 9:0:1:0:1, 4:1:1:0:1, 5:1:1:0:2, 3:0:0:0:1, 1:0:0:0:0, 81:6:7:0:15
A major (3#), 1:0:0:0:1, 3:1:0:0:0, 2:0:0:0:1, 6:0:1:0:2, 3:0:0:0:0, 3:0:0:0:1, 3:2:1:0:2, 2:0:0:0:0, 2:1:0:0:2, 2:0:0:0:1, 2:0:0:0:1, 3:0:0:0:1, 2:1:0:0:0, 3:1:0:0:0, 2:0:0:0:1, 6:0:1:0:2, 3:0:0:0:0, 3:0:0:0:1, 3:2:1:0:2, 2:0:0:0:0, 2:1:0:0:2, 2:0:0:0:1, 2:0:0:0:1, 3:0:0:0:1, 2:1:0:0:0, 2:1:0:0:0, 4:0:0:0:1, 1:0:0:0:0, 3:0:0:1:1, 4:1:0:0:2, 5:0:1:0:2, 3:1:1:0:2, 3:0:0:0:1, 4:1:0:0:0, 4:1:0:0:0, 3:1:0:0:0, 4:1:0:0:2, 5:0:0:0:1, 5:0:1:0:2, 2:0:0:0:0, 1:0:0:0:1, 1:0:0:0:1, 5:0:1:0:2, 4:1:1:0:1, 4:1:0:0:2, 1:0:0:0:0, 2:0:1:0:1, 2:0:0:0:0, 2:0:0:0:1, 3:1:0:0:2, 2:0:0:0:1, 5:0:0:0:1, 1:0:0:0:0, 5:1:0:0:0, 3:0:0:0:1, 2:0:0:0:0, 4:1:0:0:1, 5:1:0:0:2, 5:1:0:0:2, 4:1:0:0:2, 1:1:0:0:1, 1:0:0:0:1, 4:0:0:0:1, 2:1:0:0:1, 2:0:0:0:1, 1:0:0:0:0, 4:0:1:0:2, 1:0:0:0:0,  , 6:1:0:0:0, 5:1:0:0:0, 7:2:1:0:1, 4:1:0:0:1, 3:1:0:0:0, 221:33:12:1:67
C minor (3b), 0:0:0:0:0, 2:1:0:0:1, 2:0:0:0:0, 1:0:0:0:0, 0:0:0:0:0, 0:0:0:0:0, 2:0:0:0:0, 1:0:0:0:0, 1:0:1:0:0, 0:0:0:0:0, 0:0:0:0:0, 0:0:0:0:0, 1:0:0:0:0, 2:1:0:0:1, 2:0:0:0:0, 1:0:0:0:0, 0:0:0:0:0, 0:0:0:0:0, 2:0:0:0:0, 1:0:0:0:0, 1:0:1:0:0, 0:0:0:0:0, 0:0:0:0:0, 0:0:0:0:0, 1:0:0:0:0, 1:0:0:0:0, 1:0:0:0:0, 0:0:0:0:0, 1:0:0:0:1, 1:0:0:0:0, 3:0:0:0:0, 2:1:0:0:1, 0:0:0:0:0, 4:0:1:0:0, 3:0:0:0:1, 1:0:0:0:0, 0:0:0:0:0, 3:0:0:0:1, 1:0:0:0:0, 0:0:0:0:0, 0:0:0:0:0, 1:1:0:0:1, 1:0:0:0:0, 3:0:0:0:0, 0:0:0:0:0, 1:0:0:0:1, 1:0:0:0:0, 0:0:0:0:0, 0:0:0:0:0, 0:0:0:0:0, 1:0:1:0:0, 0:0:0:0:0, 0:0:0:0:0, 1:0:0:0:0, 1:0:0:0:0, 2:0:0:0:1, 0:0:0:0:0, 2:0:0:0:1, 0:0:0:0:0, 2:0:0:0:0, 0:0:0:0:0, 0:0:0:0:0, 0:0:0:0:0, 0:0:0:0:0, 0:0:0:0:0, 1:0:0:0:0, 1:0:0:0:0, 0:0:0:0:0,  , 9:0:1:0:1, 4:1:1:0:1, 5:1:1:0:2, 3:0:0:0:1, 1:0:0:0:0, 81:6:7:0:15
