 , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, rowcost
D dorian (2#), 4, 3, 1, 4, 3, 2, 2, 3, 5, 3, 1, 4, 3, 3, 6, 0, 1, 4, 1, 1, 7, 2, 6, 4, 4, 3, 1, 4, 3, 5, 1, 1, 7, 3, 1, 5, 4, 4, 2, 4, 1, 3, 5, 4, 3, 4, 3, 4, 1, 4, 6, 1, 4, 5, 3, 2, 3, 3, 1, 2, 5, 4, 4, 0, 1, 2, 4, 4, 3, 2, 3, 3, 2, 4, 4, 8, 5, 4, 1, 1, 3, 3, 4, 1, 5, 2, 4, 6, 1, 2, 2, 3, 3, 4, 3, 4, 3, 304
Bb phrygian (2b), 2, 2, 0, 1, 2, 3, 1, 1, 3, 2, 0, 2, 2, 3, 3, 0, 1, 6, 0, 1, 7, 4, 4, 2, 2, 2, 0, 1, 2, 5, 0, 0, 3, 3, 0, 3, 2, 4, 1, 2, 0, 6, 5, 2, 2, 4, 1, 2, 1, 5, 2, 0, 4, 3, 2, 3, 1, 4, 1, 1, 2, 3, 3, 0, 0, 3, 6, 1, 2, 2, 2, 3, 1, 3, 4, 6, 1, 5, 2, 1, 2, 3, 2, 0, 4, 3, 5, 3, 0, 1, 1, 1, 2, 4, 1, 2, 1, 216
D phrygian (2#), 2, 2, 0, 1, 2, 3, 2, 2, 3, 2, 0, 2, 2, 3, 2, 0, 1, 6, 0, 1, 6, 3, 5, 3, 2, 2, 0, 1, 2, 3, 0, 0, 5, 3, 0, 4, 3, 4, 1, 3, 0, 4, 2, 2, 2, 4, 1, 2, 1, 4, 3, 0, 5, 4, 2, 3, 1, 4, 1, 1, 3, 4, 3, 0, 0, 3, 4, 3, 3, 2, 3, 4, 1, 4, 3, 8, 1, 5, 2, 1, 3, 4, 2, 0, 4, 3, 5, 5, 0, 1, 1, 2, 2, 4, 1, 3, 1, 230
Bb lydian (2b), 2, 2, 0, 1, 2, 3, 2, 2, 3, 2, 0, 2, 2, 3, 2, 0, 1, 6, 0, 1, 6, 3, 5, 3, 2, 2, 0, 1, 2, 3, 0, 0, 5, 3, 0, 4, 3, 4, 1, 3, 0, 4, 2, 2, 2, 4, 1, 2, 1, 4, 3, 0, 5, 4, 2, 3, 1, 4, 1, 1, 3, 4, 3, 0, 0, 3, 4, 3, 3, 2, 3, 4, 1, 4, 3, 8, 1, 5, 2, 1, 3, 4, 2, 0, 4, 3, 5, 5, 0, 1, 1, 2, 2, 4, 1, 3, 1, 230
D lydian (2#), 2, 2, 0, 1, 2, 3, 1, 1, 3, 2, 0, 2, 2, 3, 3, 0, 1, 6, 0, 1, 7, 4, 4, 2, 2, 2, 0, 1, 2, 5, 0, 0, 3, 3, 0, 3, 2, 4, 1, 2, 0, 6, 5, 2, 2, 4, 1, 2, 1, 5, 2, 0, 4, 3, 2, 3, 1, 4, 1, 1, 2, 3, 3, 0, 0, 3, 6, 1, 2, 2, 2, 3, 1, 3, 4, 6, 1, 5, 2, 1, 2, 3, 2, 0, 4, 3, 5, 3, 0, 1, 1, 1, 2, 4, 1, 2, 1, 216
Bb mixolydian (2b), 2, 2, 0, 1, 2, 3, 2, 2, 3, 2, 0, 2, 2, 3, 2, 0, 1, 6, 0, 1, 6, 3, 5, 3, 2, 2, 0, 1, 2, 3, 0, 0, 5, 3, 0, 4, 3, 4, 1, 3, 0, 4, 2, 2, 2, 4, 1, 2, 1, 4, 3, 0, 5, 4, 2, 3, 1, 4, 1, 1, 3, 4, 3, 0, 0, 3, 4, 3, 3, 2, 3, 4, 1, 4, 3, 8, 1, 5, 2, 1, 3, 4, 2, 0, 4, 3, 5, 5, 0, 1, 1, 2, 2, 4, 1, 3, 1, 230
D mixolydian (2#), 2, 2, 0, 1, 2, 3, 1, 1, 3, 2, 0, 2, 2, 3, 3, 0, 1, 6, 0, 1, 7, 4, 4, 2, 2, 2, 0, 1, 2, 5, 0, 0, 3, 3, 0, 3, 2, 4, 1, 2, 0, 6, 5, 2, 2, 4, 1, 2, 1, 5, 2, 0, 4, 3, 2, 3, 1, 4, 1, 1, 2, 3, 3, 0, 0, 3, 6, 1, 2, 2, 2, 3, 1, 3, 4, 6, 1, 5, 2, 1, 2, 3, 2, 0, 4, 3, 5, 3, 0, 1, 1, 1, 2, 4, 1, 2, 1, 216
Bb aeolian (2b), 2, 2, 0, 1, 2, 3, 1, 1, 3, 2, 0, 2, 2, 3, 3, 0, 1, 6, 0, 1, 7, 4, 4, 2, 2, 2, 0, 1, 2, 5, 0, 0, 3, 3, 0, 3, 2, 4, 1, 2, 0, 6, 5, 2, 2, 4, 1, 2, 1, 5, 2, 0, 4, 3, 2, 3, 1, 4, 1, 1, 2, 3, 3, 0, 0, 3, 6, 1, 2, 2, 2, 3, 1, 3, 4, 6, 1, 5, 2, 1, 2, 3, 2, 0, 4, 3, 5, 3, 0, 1, 1, 1, 2, 4, 1, 2, 1, 216
D aeolian (2#), 2, 2, 0, 1, 2, 3, 1, 1, 3, 2, 0, 2, 2, 3, 3, 0, 1, 6, 0, 1, 7, 4, 4, 2, 2, 2, 0, 1, 2, 5, 0, 0, 3, 3, 0, 3, 2, 4, 1, 2, 0, 6, 5, 2, 2, 4, 1, 2, 1, 5, 2, 0, 4, 3, 2, 3, 1, 4, 1, 1, 2, 3, 3, 0, 0, 3, 6, 1, 2, 2, 2, 3, 1, 3, 4, 6, 1, 5, 2, 1, 2, 3, 2, 0, 4, 3, 5, 3, 0, 1, 1, 1, 2, 4, 1, 2, 1, 216
Bb locrian (2b), 2, 2, 0, 1, 2, 3, 1, 1, 3, 2, 0, 2, 2, 3, 3, 0, 1, 6, 0, 1, 7, 4, 4, 2, 2, 2, 0, 1, 2, 5, 0, 0, 3, 3, 0, 3, 2, 4, 1, 2, 0, 6, 5, 2, 2, 4, 1, 2, 1, 5, 2, 0, 4, 3, 2, 3, 1, 4, 1, 1, 2, 3, 3, 0, 0, 3, 6, 1, 2, 2, 2, 3, 1, 3, 4, 6, 1, 5, 2, 1, 2, 3, 2, 0, 4, 3, 5, 3, 0, 1, 1, 1, 2, 4, 1, 2, 1, 216
D locrian (2#), 2, 2, 0, 1, 2, 3, 1, 1, 3, 2, 0, 2, 2, 3, 3, 0, 1, 6, 0, 1, 7, 4, 4, 2, 2, 2, 0, 1, 2, 5, 0, 0, 3, 3, 0, 3, 2, 4, 1, 2, 0, 6, 5, 2, 2, 4, 1, 2, 1, 5, 2, 0, 4, 3, 2, 3, 1, 4, 1, 1, 2, 3, 3, 0, 0, 3, 6, 1, 2, 2, 2, 3, 1, 3, 4, 6, 1, 5, 2, 1, 2, 3, 2, 0, 4, 3, 5, 3, 0, 1, 1, 1, 2, 4, 1, 2, 1, 216
Eb major (3b), 2, 2, 0, 1, 2, 3, 1, 1, 3, 2, 0, 2, 2, 3, 3, 0, 1, 6, 0, 1, 7, 4, 4, 2, 2, 2, 0, 1, 2, 5, 0, 0, 3, 3, 0, 3, 2, 4, 1, 2, 0, 6, 5, 2, 2, 4, 1, 2, 1, 5, 2, 0, 4, 3, 2, 3, 1, 4, 1, 1, 2, 3, 3, 0, 0, 3, 6, 1, 2, 2, 2, 3, 1, 3, 4, 6, 1, 5, 2, 1, 2, 3, 2, 0, 4, 3, 5, 3, 0, 1, 1, 1, 2, 4, 1, 2, 1, 216
A major (3#), 1, 1, 0, 0, 3, 2, 2, 1, 2, 2, 0, 1, 1, 2, 2, 0, 2, 4, 0, 0, 5, 4, 3, 2, 1, 1, 0, 0, 3, 4, 0, 1, 2, 2, 0, 3, 1, 3, 2, 1, 0, 10, 4, 1, 2, 3, 0, 3, 0, 3, 1, 0, 3, 2, 1, 2, 0, 6, 1, 1, 3, 3, 2, 0, 0, 5, 5, 1, 2, 1, 3, 3, 0, 2, 4, 5, 0, 4, 1, 1, 1, 2, 1, 0, 3, 4, 3, 2, 0, 0, 1, 1, 1, 3, 0, 3, 0, 177
C minor (3b), 3, 2, 1, 2, 3, 2, 1, 3, 4, 3, 1, 3, 3, 2, 4, 0, 1, 5, 1, 1, 7, 3, 5, 4, 3, 2, 1, 2, 3, 5, 1, 1, 5, 3, 1, 4, 3, 3, 2, 3, 1, 3, 3, 3, 3, 3, 2, 3, 1, 4, 3, 1, 4, 5, 3, 2, 2, 3, 1, 2, 4, 2, 4, 0, 1, 2, 5, 2, 2, 1, 2, 2, 1, 2, 4, 8, 2, 3, 2, 1, 2, 2, 2, 1, 5, 2, 4, 5, 1, 1, 2, 2, 3, 3, 2, 4, 2, 251
F# minor (3#), 1, 1, 0, 0, 3, 2, 2, 2, 2, 2, 0, 1, 1, 2, 1, 0, 2, 5, 0, 0, 5, 4, 3, 3, 1, 1, 0, 0, 3, 2, 0, 1, 3, 2, 0, 3, 2, 3, 2, 2, 0, 5, 1, 1, 2, 3, 0, 3, 0, 4, 1, 0, 4, 3, 1, 2, 0, 3, 1, 1, 4, 2, 2, 0, 0, 3, 3, 1, 2, 1, 3, 3, 0, 3, 3, 6, 0, 3, 1, 1, 1, 3, 1, 0, 3, 4, 4, 4, 0, 0, 1, 2, 1, 3, 0, 4, 0, 174
C minor mel (3b), 4, 3, 1, 4, 3, 2, 2, 3, 5, 3, 1, 4, 3, 3, 6, 0, 1, 4, 1, 1, 7, 2, 6, 4, 4, 3, 1, 4, 3, 5, 1, 1, 7, 3, 1, 5, 4, 4, 2, 4, 1, 3, 5, 4, 3, 4, 3, 4, 1, 4, 6, 1, 4, 5, 3, 2, 3, 3, 1, 2, 5, 4, 4, 0, 1, 2, 4, 4, 3, 2, 3, 3, 2, 4, 4, 8, 5, 4, 1, 1, 3, 3, 4, 1, 5, 2, 4, 6, 1, 2, 2, 3, 3, 4, 3, 4, 3, 304
F# minor mel (3#), 2, 2, 0, 1, 2, 3, 1, 1, 3, 2, 0, 2, 2, 3, 3, 0, 1, 6, 0, 1, 7, 4, 4, 2, 2, 2, 0, 1, 2, 5, 0, 0, 3, 3, 0, 3, 2, 4, 1, 2, 0, 6, 5, 2, 2, 4, 1, 2, 1, 5, 2, 0, 4, 3, 2, 3, 1, 4, 1, 1, 2, 3, 3, 0, 0, 3, 6, 1, 2, 2, 2, 3, 1, 3, 4, 6, 1, 5, 2, 1, 2, 3, 2, 0, 4, 3, 5, 3, 0, 1, 1, 1, 2, 4, 1, 2, 1, 216
Eb major blues (3b), 2, 2, 0, 1, 2, 3, 2, 2, 3, 2, 0, 2, 2, 3, 2, 0, 1, 6, 0, 1, 6, 3, 5, 3, 2, 2, 0, 1, 2, 3, 0, 0, 5, 3, 0, 4, 3, 4, 1, 3, 0, 4, 2, 2, 2, 4, 1, 2, 1, 4, 3, 0, 5, 4, 2, 3, 1, 4, 1, 1, 3, 4, 3, 0, 0, 3, 4, 3, 3, 2, 3, 4, 1, 4, 3, 8, 1, 5, 2, 1, 3, 4, 2, 0, 4, 3, 5, 5, 0, 1, 1, 2, 2, 4, 1, 3, 1, 230
A major blues (3#), 2, 2, 0, 1, 2, 3, 2, 2, 3, 2, 0, 2, 2, 3, 2, 0, 1, 6, 0, 1, 6, 3, 5, 3, 2, 2, 0, 1, 2, 3, 0, 0, 5, 3, 0, 4, 3, 4, 1, 3, 0, 4, 2, 2, 2, 4, 1, 2, 1, 4, 3, 0, 5, 4, 2, 3, 1, 4, 1, 1, 3, 4, 3, 0, 0, 3, 4, 3, 3, 2, 3, 4, 1, 4, 3, 8, 1, 5, 2, 1, 3, 4, 2, 0, 4, 3, 5, 5, 0, 1, 1, 2, 2, 4, 1, 3, 1, 230
C minor blues (3b), 2, 2, 0, 1, 2, 3, 1, 1, 3, 2, 0, 2, 2, 3, 3, 0, 1, 6, 0, 1, 7, 4, 4, 2, 2, 2, 0, 1, 2, 5, 0, 0, 3, 3, 0, 3, 2, 4, 1, 2, 0, 6, 5, 2, 2, 4, 1, 2, 1, 5, 2, 0, 4, 3, 2, 3, 1, 4, 1, 1, 2, 3, 3, 0, 0, 3, 6, 1, 2, 2, 2, 3, 1, 3, 4, 6, 1, 5, 2, 1, 2, 3, 2, 0, 4, 3, 5, 3, 0, 1, 1, 1, 2, 4, 1, 2, 1, 216
F# minor blues (3#), 2, 2, 0, 1, 2, 3, 2, 2, 3, 2, 0, 2, 2, 3, 2, 0, 1, 6, 0, 1, 6, 3, 5, 3, 2, 2, 0, 1, 2, 3, 0, 0, 5, 3, 0, 4, 3, 4, 1, 3, 0, 4, 2, 2, 2, 4, 1, 2, 1, 4, 3, 0, 5, 4, 2, 3, 1, 4, 1, 1, 3, 4, 3, 0, 0, 3, 4, 3, 3, 2, 3, 4, 1, 4, 3, 8, 1, 5, 2, 1, 3, 4, 2, 0, 4, 3, 5, 5, 0, 1, 1, 2, 2, 4, 1, 3, 1, 230
Eb dorian (3b), 2, 2, 0, 1, 2, 3, 1, 1, 3, 2, 0, 2, 2, 3, 3, 0, 1, 6, 0, 1, 7, 4, 4, 2, 2, 2, 0, 1, 2, 5, 0, 0, 3, 3, 0, 3, 2, 4, 1, 2, 0, 6, 5, 2, 2, 4, 1, 2, 1, 5, 2, 0, 4, 3, 2, 3, 1, 4, 1, 1, 2, 3, 3, 0, 0, 3, 6, 1, 2, 2, 2, 3, 1, 3, 4, 6, 1, 5, 2, 1, 2, 3, 2, 0, 4, 3, 5, 3, 0, 1, 1, 1, 2, 4, 1, 2, 1, 216
A dorian (3#), 2, 2, 0, 1, 2, 3, 1, 1, 3, 2, 0, 2, 2, 3, 3, 0, 1, 6, 0, 1, 7, 4, 4, 2, 2, 2, 0, 1, 2, 5, 0, 0, 3, 3, 0, 3, 2, 4, 1, 2, 0, 6, 5, 2, 2, 4, 1, 2, 1, 5, 2, 0, 4, 3, 2, 3, 1, 4, 1, 1, 2, 3, 3, 0, 0, 3, 6, 1, 2, 2, 2, 3, 1, 3, 4, 6, 1, 5, 2, 1, 2, 3, 2, 0, 4, 3, 5, 3, 0, 1, 1, 1, 2, 4, 1, 2, 1, 216
Eb phrygian (3b), 2, 2, 0, 1, 2, 3, 1, 1, 3, 2, 0, 2, 2, 3, 3, 0, 1, 6, 0, 1, 7, 4, 4, 2, 2, 2, 0, 1, 2, 5, 0, 0, 3, 3, 0, 3, 2, 4, 1, 2, 0, 6, 5, 2, 2, 4, 1, 2, 1, 5, 2, 0, 4, 3, 2, 3, 1, 4, 1, 1, 2, 3, 3, 0, 0, 3, 6, 1, 2, 2, 2, 3, 1, 3, 4, 6, 1, 5, 2, 1, 2, 3, 2, 0, 4, 3, 5, 3, 0, 1, 1, 1, 2, 4, 1, 2, 1, 216
A phrygian (3#), 2, 2, 0, 1, 2, 3, 1, 1, 3, 2, 0, 2, 2, 3, 3, 0, 1, 6, 0, 1, 7, 4, 4, 2, 2, 2, 0, 1, 2, 5, 0, 0, 3, 3, 0, 3, 2, 4, 1, 2, 0, 6, 5, 2, 2, 4, 1, 2, 1, 5, 2, 0, 4, 3, 2, 3, 1, 4, 1, 1, 2, 3, 3, 0, 0, 3, 6, 1, 2, 2, 2, 3, 1, 3, 4, 6, 1, 5, 2, 1, 2, 3, 2, 0, 4, 3, 5, 3, 0, 1, 1, 1, 2, 4, 1, 2, 1, 216
Eb lydian (3b), 2, 2, 0, 1, 2, 3, 1, 1, 3, 2, 0, 2, 2, 3, 3, 0, 1, 6, 0, 1, 7, 4, 4, 2, 2, 2, 0, 1, 2, 5, 0, 0, 3, 3, 0, 3, 2, 4, 1, 2, 0, 6, 5, 2, 2, 4, 1, 2, 1, 5, 2, 0, 4, 3, 2, 3, 1, 4, 1, 1, 2, 3, 3, 0, 0, 3, 6, 1, 2, 2, 2, 3, 1, 3, 4, 6, 1, 5, 2, 1, 2, 3, 2, 0, 4, 3, 5, 3, 0, 1, 1, 1, 2, 4, 1, 2, 1, 216
A lydian (3#), 2, 2, 0, 1, 2, 3, 1, 1, 3, 2, 0, 2, 2, 3, 3, 0, 1, 6, 0, 1, 7, 4, 4, 2, 2, 2, 0, 1, 2, 5, 0, 0, 3, 3, 0, 3, 2, 4, 1, 2, 0, 6, 5, 2, 2, 4, 1, 2, 1, 5, 2, 0, 4, 3, 2, 3, 1, 4, 1, 1, 2, 3, 3, 0, 0, 3, 6, 1, 2, 2, 2, 3, 1, 3, 4, 6, 1, 5, 2, 1, 2, 3, 2, 0, 4, 3, 5, 3, 0, 1, 1, 1, 2, 4, 1, 2, 1, 216
Eb mixolydian (3b), 1, 1, 0, 0, 3, 2, 2, 1, 2, 2, 0, 1, 1, 2, 2, 0, 2, 4, 0, 0, 5, 4, 3, 2, 1, 1, 0, 0, 3, 4, 0, 1, 2, 2, 0, 3, 1, 3, 2, 1, 0, 10, 4, 1, 2, 3, 0, 3, 0, 3, 1, 0, 3, 2, 1, 2, 0, 6, 1, 1, 3, 3, 2, 0, 0, 5, 5, 1, 2, 1, 3, 3, 0, 2, 4, 5, 0, 4, 1, 1, 1, 2, 1, 0, 3, 4, 3, 2, 0, 0, 1, 1, 1, 3, 0, 3, 0, 177
A mixolydian (3#), 3, 2, 1, 2, 3, 2, 1, 3, 4, 3, 1, 3, 3, 2, 4, 0, 1, 5, 1, 1, 7, 3, 5, 4, 3, 2, 1, 2, 3, 5, 1, 1, 5, 3, 1, 4, 3, 3, 2, 3, 1, 3, 3, 3, 3, 3, 2, 3, 1, 4, 3, 1, 4, 5, 3, 2, 2, 3, 1, 2, 4, 2, 4, 0, 1, 2, 5, 2, 2, 1, 2, 2, 1, 2, 4, 8, 2, 3, 2, 1, 2, 2, 2, 1, 5, 2, 4, 5, 1, 1, 2, 2, 3, 3, 2, 4, 2, 251
Eb aeolian (3b), 1, 1, 0, 0, 3, 2, 2, 2, 2, 2, 0, 1, 1, 2, 1, 0, 2, 5, 0, 0, 5, 4, 3, 3, 1, 1, 0, 0, 3, 2, 0, 1, 3, 2, 0, 3, 2, 3, 2, 2, 0, 5, 1, 1, 2, 3, 0, 3, 0, 4, 1, 0, 4, 3, 1, 2, 0, 3, 1, 1, 4, 2, 2, 0, 0, 3, 3, 1, 2, 1, 3, 3, 0, 3, 3, 6, 0, 3, 1, 1, 1, 3, 1, 0, 3, 4, 4, 4, 0, 0, 1, 2, 1, 3, 0, 4, 0, 174
A aeolian (3#), 4, 3, 1, 4, 3, 2, 2, 3, 5, 3, 1, 4, 3, 3, 6, 0, 1, 4, 1, 1, 7, 2, 6, 4, 4, 3, 1, 4, 3, 5, 1, 1, 7, 3, 1, 5, 4, 4, 2, 4, 1, 3, 5, 4, 3, 4, 3, 4, 1, 4, 6, 1, 4, 5, 3, 2, 3, 3, 1, 2, 5, 4, 4, 0, 1, 2, 4, 4, 3, 2, 3, 3, 2, 4, 4, 8, 5, 4, 1, 1, 3, 3, 4, 1, 5, 2, 4, 6, 1, 2, 2, 3, 3, 4, 3, 4, 3, 304
Eb locrian (3b), 2, 2, 0, 1, 2, 3, 1, 1, 3, 2, 0, 2, 2, 3, 3, 0, 1, 6, 0, 1, 7, 4, 4, 2, 2, 2, 0, 1, 2, 5, 0, 0, 3, 3, 0, 3, 2, 4, 1, 2, 0, 6, 5, 2, 2, 4, 1, 2, 1, 5, 2, 0, 4, 3, 2, 3, 1, 4, 1, 1, 2, 3, 3, 0, 0, 3, 6, 1, 2, 2, 2, 3, 1, 3, 4, 6, 1, 5, 2, 1, 2, 3, 2, 0, 4, 3, 5, 3, 0, 1, 1, 1, 2, 4, 1, 2, 1, 216
A locrian (3#), 2, 2, 0, 1, 2, 3, 2, 2, 3, 2, 0, 2, 2, 3, 2, 0, 1, 6, 0, 1, 6, 3, 5, 3, 2, 2, 0, 1, 2, 3, 0, 0, 5, 3, 0, 4, 3, 4, 1, 3, 0, 4, 2, 2, 2, 4, 1, 2, 1, 4, 3, 0, 5, 4, 2, 3, 1, 4, 1, 1, 3, 4, 3, 0, 0, 3, 4, 3, 3, 2, 3, 4, 1, 4, 3, 8, 1, 5, 2, 1, 3, 4, 2, 0, 4, 3, 5, 5, 0, 1, 1, 2, 2, 4, 1, 3, 1, 230
Ab major (4b), 2, 2, 0, 1, 2, 3, 2, 2, 3, 2, 0, 2, 2, 3, 2, 0, 1, 6, 0, 1, 6, 3, 5, 3, 2, 2, 0, 1, 2, 3, 0, 0, 5, 3, 0, 4, 3, 4, 1, 3, 0, 4, 2, 2, 2, 4, 1, 2, 1, 4, 3, 0, 5, 4, 2, 3, 1, 4, 1, 1, 3, 4, 3, 0, 0, 3, 4, 3, 3, 2, 3, 4, 1, 4, 3, 8, 1, 5, 2, 1, 3, 4, 2, 0, 4, 3, 5, 5, 0, 1, 1, 2, 2, 4, 1, 3, 1, 230
E major (4#), 2, 2, 0, 1, 2, 3, 1, 1, 3, 2, 0, 2, 2, 3, 3, 0, 1, 6, 0, 1, 7, 4, 4, 2, 2, 2, 0, 1, 2, 5, 0, 0, 3, 3, 0, 3, 2, 4, 1, 2, 0, 6, 5, 2, 2, 4, 1, 2, 1, 5, 2, 0, 4, 3, 2, 3, 1, 4, 1, 1, 2, 3, 3, 0, 0, 3, 6, 1, 2, 2, 2, 3, 1, 3, 4, 6, 1, 5, 2, 1, 2, 3, 2, 0, 4, 3, 5, 3, 0, 1, 1, 1, 2, 4, 1, 2, 1, 216
F minor (4b), 2, 2, 0, 1, 2, 3, 2, 2, 3, 2, 0, 2, 2, 3, 2, 0, 1, 6, 0, 1, 6, 3, 5, 3, 2, 2, 0, 1, 2, 3, 0, 0, 5, 3, 0, 4, 3, 4, 1, 3, 0, 4, 2, 2, 2, 4, 1, 2, 1, 4, 3, 0, 5, 4, 2, 3, 1, 4, 1, 1, 3, 4, 3, 0, 0, 3, 4, 3, 3, 2, 3, 4, 1, 4, 3, 8, 1, 5, 2, 1, 3, 4, 2, 0, 4, 3, 5, 5, 0, 1, 1, 2, 2, 4, 1, 3, 1, 230
C# minor (4#), 2, 2, 0, 1, 2, 3, 1, 1, 3, 2, 0, 2, 2, 3, 3, 0, 1, 6, 0, 1, 7, 4, 4, 2, 2, 2, 0, 1, 2, 5, 0, 0, 3, 3, 0, 3, 2, 4, 1, 2, 0, 6, 5, 2, 2, 4, 1, 2, 1, 5, 2, 0, 4, 3, 2, 3, 1, 4, 1, 1, 2, 3, 3, 0, 0, 3, 6, 1, 2, 2, 2, 3, 1, 3, 4, 6, 1, 5, 2, 1, 2, 3, 2, 0, 4, 3, 5, 3, 0, 1, 1, 1, 2, 4, 1, 2, 1, 216
F minor mel (4b), 2, 2, 0, 1, 2, 3, 1, 1, 3, 2, 0, 2, 2, 3, 3, 0, 1, 6, 0, 1, 7, 4, 4, 2, 2, 2, 0, 1, 2, 5, 0, 0, 3, 3, 0, 3, 2, 4, 1, 2, 0, 6, 5, 2, 2, 4, 1, 2, 1, 5, 2, 0, 4, 3, 2, 3, 1, 4, 1, 1, 2, 3, 3, 0, 0, 3, 6, 1, 2, 2, 2, 3, 1, 3, 4, 6, 1, 5, 2, 1, 2, 3, 2, 0, 4, 3, 5, 3, 0, 1, 1, 1, 2, 4, 1, 2, 1, 216
C# minor mel (4#), 2, 2, 0, 1, 2, 3, 1, 1, 3, 2, 0, 2, 2, 3, 3, 0, 1, 6, 0, 1, 7, 4, 4, 2, 2, 2, 0, 1, 2, 5, 0, 0, 3, 3, 0, 3, 2, 4, 1, 2, 0, 6, 5, 2, 2, 4, 1, 2, 1, 5, 2, 0, 4, 3, 2, 3, 1, 4, 1, 1, 2, 3, 3, 0, 0, 3, 6, 1, 2, 2, 2, 3, 1, 3, 4, 6, 1, 5, 2, 1, 2, 3, 2, 0, 4, 3, 5, 3, 0, 1, 1, 1, 2, 4, 1, 2, 1, 216
Ab major blues (4b), 2, 2, 0, 1, 2, 3, 1, 1, 3, 2, 0, 2, 2, 3, 3, 0, 1, 6, 0, 1, 7, 4, 4, 2, 2, 2, 0, 1, 2, 5, 0, 0, 3, 3, 0, 3, 2, 4, 1, 2, 0, 6, 5, 2, 2, 4, 1, 2, 1, 5, 2, 0, 4, 3, 2, 3, 1, 4, 1, 1, 2, 3, 3, 0, 0, 3, 6, 1, 2, 2, 2, 3, 1, 3, 4, 6, 1, 5, 2, 1, 2, 3, 2, 0, 4, 3, 5, 3, 0, 1, 1, 1, 2, 4, 1, 2, 1, 216
E major blues (4#), 2, 2, 0, 1, 2, 3, 1, 1, 3, 2, 0, 2, 2, 3, 3, 0, 1, 6, 0, 1, 7, 4, 4, 2, 2, 2, 0, 1, 2, 5, 0, 0, 3, 3, 0, 3, 2, 4, 1, 2, 0, 6, 5, 2, 2, 4, 1, 2, 1, 5, 2, 0, 4, 3, 2, 3, 1, 4, 1, 1, 2, 3, 3, 0, 0, 3, 6, 1, 2, 2, 2, 3, 1, 3, 4, 6, 1, 5, 2, 1, 2, 3, 2, 0, 4, 3, 5, 3, 0, 1, 1, 1, 2, 4, 1, 2, 1, 216
F minor blues (4b), 2, 2, 0, 1, 2, 3, 1, 1, 3, 2, 0, 2, 2, 3, 3, 0, 1, 6, 0, 1, 7, 4, 4, 2, 2, 2, 0, 1, 2, 5, 0, 0, 3, 3, 0, 3, 2, 4, 1, 2, 0, 6, 5, 2, 2, 4, 1, 2, 1, 5, 2, 0, 4, 3, 2, 3, 1, 4, 1, 1, 2, 3, 3, 0, 0, 3, 6, 1, 2, 2, 2, 3, 1, 3, 4, 6, 1, 5, 2, 1, 2, 3, 2, 0, 4, 3, 5, 3, 0, 1, 1, 1, 2, 4, 1, 2, 1, 216
C# minor blues (4#), 1, 1, 0, 0, 3, 2, 2, 1, 2, 2, 0, 1, 1, 2, 2, 0, 2, 4, 0, 0, 5, 4, 3, 2, 1, 1, 0, 0, 3, 4, 0, 1, 2, 2, 0, 3, 1, 3, 2, 1, 0, 10, 4, 1, 2, 3, 0, 3, 0, 3, 1, 0, 3, 2, 1, 2, 0, 6, 1, 1, 3, 3, 2, 0, 0, 5, 5, 1, 2, 1, 3, 3, 0, 2, 4, 5, 0, 4, 1, 1, 1, 2, 1, 0, 3, 4, 3, 2, 0, 0, 1, 1, 1, 3, 0, 3, 0, 177
Ab dorian (4b), 3, 2, 1, 2, 3, 2, 1, 3, 4, 3, 1, 3, 3, 2, 4, 0, 1, 5, 1, 1, 7, 3, 5, 4, 3, 2, 1, 2, 3, 5, 1, 1, 5, 3, 1, 4, 3, 3, 2, 3, 1, 3, 3, 3, 3, 3, 2, 3, 1, 4, 3, 1, 4, 5, 3, 2, 2, 3, 1, 2, 4, 2, 4, 0, 1, 2, 5, 2, 2, 1, 2, 2, 1, 2, 4, 8, 2, 3, 2, 1, 2, 2, 2, 1, 5, 2, 4, 5, 1, 1, 2, 2, 3, 3, 2, 4, 2, 251
E dorian (4#), 1, 1, 0, 0, 3, 2, 2, 2, 2, 2, 0, 1, 1, 2, 1, 0, 2, 5, 0, 0, 5, 4, 3, 3, 1, 1, 0, 0, 3, 2, 0, 1, 3, 2, 0, 3, 2, 3, 2, 2, 0, 5, 1, 1, 2, 3, 0, 3, 0, 4, 1, 0, 4, 3, 1, 2, 0, 3, 1, 1, 4, 2, 2, 0, 0, 3, 3, 1, 2, 1, 3, 3, 0, 3, 3, 6, 0, 3, 1, 1, 1, 3, 1, 0, 3, 4, 4, 4, 0, 0, 1, 2, 1, 3, 0, 4, 0, 174
