 , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, rowcost
D aeolian (2#), 2, 3, 2, 4, 3, 2, 1, 2, 3, 1, 2, 4, 2, 6, 1,  , 4, 3, 3, 2, 1, 3, 2, 2, 4, 4, 3, 4, 2, 3, 3, 3, 3, 1, 4, 1, 2, 2, 2, 4, 1, 4, 2, 0, 2, 4, 2, 1, 2, 3, 2, 4, 3, 2, 6, 4, 2, 4, 2,  , 3, 2, 3, 5, 4, 0, 170
Bb locrian (2b), 2, 3, 2, 4, 3, 2, 1, 2, 3, 1, 2, 4, 2, 6, 1,  , 4, 3, 3, 2, 1, 3, 2, 2, 4, 4, 3, 4, 2, 3, 3, 3, 3, 1, 4, 1, 2, 2, 2, 4, 1, 4, 2, 0, 2, 4, 2, 1, 2, 3, 2, 4, 3, 2, 6, 4, 2, 4, 2,  , 3, 2, 3, 5, 4, 0, 170
D locrian (2#), 2, 3, 2, 4, 3, 2, 1, 2, 3, 1, 2, 4, 2, 6, 1,  , 4, 3, 3, 2, 1, 3, 2, 2, 4, 4, 3, 4, 2, 3, 3, 3, 3, 1, 4, 1, 2, 2, 2, 4, 1, 4, 2, 0, 2, 4, 2, 1, 2, 3, 2, 4, 3, 2, 6, 4, 2, 4, 2,  , 3, 2, 3, 5, 4, 0, 170
Eb major (3b), 2, 3, 2, 4, 3, 2, 1, 2, 3, 1, 2, 4, 2, 6, 1,  , 4, 3, 3, 2, 1, 3, 2, 2, 4, 4, 3, 4, 2, 3, 3, 3, 3, 1, 4, 1, 2, 2, 2, 4, 1, 4, 2, 0, 2, 4, 2, 1, 2, 3, 2, 4, 3, 2, 6, 4, 2, 4, 2,  , 3, 2, 3, 5, 4, 0, 170
A major (3#), 2, 2, 2, 4, 2, 3, 0, 2, 2, 2, 1, 3, 2, 4, 1,  , 3, 2, 2, 1, 1, 2, 1, 2, 3, 2, 2, 4, 2, 2, 3, 2, 2, 1, 3, 1, 3, 1, 3, 3, 1, 3, 1, 0, 2, 3, 2, 0, 3, 2, 2, 4, 2, 3, 5, 2, 1, 3, 1,  , 3, 1, 4, 4, 4, 0, 139
C minor (3b), 3, 3, 1, 5, 4, 3, 2, 1, 4, 0, 3, 5, 4, 5, 1,  , 3, 4, 4, 4, 2, 5, 4, 2, 3, 3, 4, 3, 2, 4, 4, 4, 4, 2, 7, 2, 3, 3, 3, 5, 2, 5, 3, 1, 3, 5, 3, 1, 3, 3, 1, 5, 4, 3, 5, 3, 4, 5, 2,  , 3, 2, 4, 6, 3, 0, 207
F# minor (3#), 2, 4, 1, 4, 3, 3, 0, 3, 3, 2, 1, 3, 3, 5, 1,  , 4, 3, 3, 2, 1, 3, 2, 4, 4, 3, 3, 4, 2, 3, 4, 3, 3, 1, 5, 2, 2, 2, 4, 4, 2, 4, 3, 0, 2, 4, 2, 0, 3, 4, 1, 4, 3, 3, 5, 3, 2, 3, 1,  , 3, 1, 5, 6, 5, 0, 178
C minor mel (3b), 3, 5, 1, 5, 5, 4, 2, 1, 4, 0, 3, 4, 4, 5, 1,  , 3, 5, 4, 4, 2, 5, 4, 4, 3, 4, 4, 4, 2, 4, 4, 5, 5, 2, 7, 2, 3, 3, 4, 4, 3, 5, 5, 1, 3, 5, 3, 1, 3, 5, 1, 5, 5, 4, 4, 4, 6, 5, 2,  , 3, 2, 5, 6, 3, 0, 227
F# minor mel (3#), 2, 3, 2, 4, 3, 2, 1, 2, 3, 1, 2, 4, 2, 6, 1,  , 4, 3, 3, 2, 1, 3, 2, 2, 4, 4, 3, 4, 2, 3, 3, 3, 3, 1, 4, 1, 2, 2, 2, 4, 1, 4, 2, 0, 2, 4, 2, 1, 2, 3, 2, 4, 3, 2, 6, 4, 2, 4, 2,  , 3, 2, 3, 5, 4, 0, 170
Eb major blues (3b), 2, 5, 2, 4, 4, 2, 1, 2, 4, 1, 2, 4, 3, 6, 1,  , 4, 4, 4, 3, 1, 4, 3, 4, 4, 4, 4, 5, 2, 4, 4, 4, 4, 1, 6, 2, 2, 3, 3, 5, 2, 5, 4, 0, 2, 5, 2, 1, 2, 5, 2, 4, 4, 2, 5, 4, 3, 4, 2,  , 3, 2, 4, 7, 4, 0, 205
A major blues (3#), 2, 5, 2, 4, 4, 2, 1, 2, 4, 1, 2, 4, 3, 6, 1,  , 4, 4, 4, 3, 1, 4, 3, 4, 4, 4, 4, 5, 2, 4, 4, 4, 4, 1, 6, 2, 2, 3, 3, 5, 2, 5, 4, 0, 2, 5, 2, 1, 2, 5, 2, 4, 4, 2, 5, 4, 3, 4, 2,  , 3, 2, 4, 7, 4, 0, 205
